# Sound Recording - Timestamp(ms),SoundName,Action(D/U),Volume
1443,note0,D,1
1544,note0,U,1
1845,note1,D,1
1931,note1,U,1
2230,note2,D,1
2322,note2,U,1
2584,note3,D,1
2695,note3,U,1
3013,note4,D,1
3103,note4,U,1
3811,chord1,D,1
3812,chord2,D,1
3813,chord3,D,1
3880,chord1,U,1
3880,chord2,U,1
3880,chord3,U,1
4689,note8,D,1
4763,note8,U,1
5051,note7,D,1
5145,note7,U,1
5460,note6,D,1
5555,note6,U,1
6241,note8,D,1
6338,note8,U,1
6623,note7,D,1
6705,note7,U,1
7028,note6,D,1
7111,note6,U,1
7812,note0,D,1
7897,note0,U,1
8197,note1,D,1
8296,note1,U,1
8605,note2,D,1
8688,note2,U,1
9704,chord1,D,1
9706,chord2,D,1
9707,chord3,D,1
9779,chord1,U,1
9779,chord2,U,1
9779,chord3,U,1
11240,note8,D,1
11370,note8,U,1
11630,note7,D,1
11735,note7,U,1
12057,note6,D,1
12144,note6,U,1
12471,note0,D,1
12550,note0,U,1
12909,chord1,D,1
12910,chord2,D,1
12912,chord3,D,1
12981,chord1,U,1
12981,chord2,U,1
12981,chord3,U,1
13328,note1,D,1
13453,note1,U,1
13742,note2,D,1
13835,note2,U,1
14185,note3,D,1
14275,note3,U,1
14679,chord1,D,1
14681,chord2,D,1
14682,chord3,D,1
14753,chord1,U,1
14754,chord2,U,1
14754,chord3,U,1
15143,note8,D,1
15239,note8,U,1
15542,note7,D,1
15636,note7,U,1
15938,note6,D,1
16036,note6,U,1
16397,chord1,D,1
16399,chord2,D,1
16400,chord3,D,1
16507,chord1,U,1
16508,chord2,U,1
16508,chord3,U,1
16745,note0,D,1
16843,note0,U,1
17155,note1,D,1
17255,note1,U,1
17592,note8,D,1
17694,note8,U,1
17973,note7,D,1
18101,note7,U,1
18388,note6,D,1
18496,note6,U,1
18814,chord1,D,1
18815,chord2,D,1
18816,chord3,D,1
18902,chord1,U,1
18902,chord2,U,1
18902,chord3,U,1
19321,note0,D,1
19373,note0,U,1
19667,note1,D,1
19791,note1,U,1
20064,note2,D,1
20157,note2,U,1
20473,note3,D,1
20560,note3,U,1
20892,note4,D,1
20975,note4,U,1
21302,chord1,D,1
21303,chord2,D,1
21304,chord3,D,1
21376,chord1,U,1
21376,chord2,U,1
21376,chord3,U,1
21764,note8,D,1
21833,note8,U,1
22189,note7,D,1
22260,note7,U,1
22566,note6,D,1
22639,note6,U,1
22956,note5,D,1
23029,note5,U,1
23402,note4,D,1
23470,note4,U,1
23810,note3,D,1
23880,note3,U,1
24234,note4,D,1
24313,note4,U,1
24614,note5,D,1
24693,note5,U,1
25026,note6,D,1
25103,note6,U,1
25492,note7,D,1
25556,note7,U,1
25902,note8,D,1
25973,note8,U,1
