# Sound Recording - Timestamp(ms),SoundName,Action(D/U),Volume
1612,n25,D,1
1916,n27,D,1
2120,kick,D,1
2120,kick,U,1
2628,kick,D,1
2628,kick,U,1
2730,kick,D,1
2730,kick,U,1
2831,kick,D,1
2832,kick,U,1
2934,kick,D,1
2934,kick,U,1
3036,kick,D,1
3036,kick,U,1
3138,kick,D,1
3138,kick,U,1
3242,kick,D,1
3242,kick,U,1
3344,kick,D,1
3344,kick,U,1
3446,kick,D,1
3446,kick,U,1
3548,kick,D,1
3548,kick,U,1
3650,kick,D,1
3650,kick,U,1
3752,kick,D,1
3752,kick,U,1
3854,kick,D,1
3854,kick,U,1
3956,kick,D,1
3956,kick,U,1
4058,kick,D,1
4058,kick,U,1
4160,kick,D,1
4160,kick,U,1
4262,kick,D,1
4262,kick,U,1
4364,kick,D,1
4364,kick,U,1
4467,kick,D,1
4467,kick,U,1
4569,kick,D,1
4569,kick,U,1
4671,kick,D,1
4671,kick,U,1
4773,kick,D,1
4773,kick,U,1
4875,kick,D,1
4875,kick,U,1
4977,kick,D,1
4977,kick,U,1
5079,kick,D,1
5079,kick,U,1
5181,kick,D,1
5182,kick,U,1
5283,kick,D,1
5283,kick,U,1
5385,kick,D,1
5386,kick,U,1
5487,kick,D,1
5488,kick,U,1
5590,kick,D,1
5590,kick,U,1
5590,kick,D,1
5590,kick,U,1
6100,kick,D,1
6100,kick,U,1
6202,kick,D,1
6202,kick,U,1
6304,kick,D,1
6304,kick,U,1
6406,kick,D,1
6406,kick,U,1
6508,kick,D,1
6508,kick,U,1
6610,kick,D,1
6610,kick,U,1
6712,kick,D,1
6712,kick,U,1
6814,kick,D,1
6814,kick,U,1
6916,kick,D,1
6916,kick,U,1
7017,kick,D,1
7017,kick,U,1
7120,kick,D,1
7120,kick,U,1
7222,kick,D,1
7222,kick,U,1
7324,kick,D,1
7324,kick,U,1
7426,kick,D,1
7426,kick,U,1
7528,kick,D,1
7528,kick,U,1
7630,kick,D,1
7630,kick,U,1
7732,kick,D,1
7732,kick,U,1
7834,kick,D,1
7834,kick,U,1
7936,kick,D,1
7936,kick,U,1
8037,kick,D,1
8037,kick,U,1
8140,kick,D,1
8140,kick,U,1
8242,kick,D,1
8242,kick,U,1
8344,kick,D,1
8344,kick,U,1
8446,kick,D,1
8446,kick,U,1
8548,kick,D,1
8548,kick,U,1
8650,kick,D,1
8650,kick,U,1
8752,kick,D,1
8752,kick,U,1
8854,kick,D,1
8854,kick,U,1
8956,kick,D,1
8956,kick,U,1
9058,kick,D,1
9058,kick,U,1
9160,kick,D,1
9160,kick,U,1
9262,kick,D,1
9262,kick,U,1
9364,kick,D,1
9364,kick,U,1
9466,kick,D,1
9466,kick,U,1
9568,kick,D,1
9568,kick,U,1
9670,kick,D,1
9670,kick,U,1
9773,kick,D,1
9773,kick,U,1
9875,kick,D,1
9875,kick,U,1
9977,kick,D,1
9977,kick,U,1
10079,kick,D,1
10079,kick,U,1
10181,kick,D,1
10181,kick,U,1
10283,kick,D,1
10283,kick,U,1
10385,kick,D,1
10385,kick,U,1
10487,kick,D,1
10487,kick,U,1
10589,n23,D,1
10589,n25,U,1
11098,n23,D,1
11199,n23,D,1
11708,n23,D,1
11810,n23,D,1
11912,n23,D,1
12014,n23,D,1
12117,n23,D,1
12218,n23,D,1
12320,n23,D,1
12422,n23,D,1
12524,n23,D,1
12626,n23,D,1
12626,kick,D,1
12626,kick,U,1
13136,kick,D,1
13136,kick,U,1
13238,kick,D,1
13238,kick,U,1
13340,kick,D,1
13340,kick,U,1
13442,kick,D,1
13442,kick,U,1
13544,kick,D,1
13544,kick,U,1
13646,kick,D,1
13646,kick,U,1
13748,kick,D,1
13748,kick,U,1
13850,kick,D,1
13850,kick,U,1
13952,kick,D,1
13952,kick,U,1
14054,kick,D,1
14054,kick,U,1
14156,kick,D,1
14156,kick,U,1
14258,kick,D,1
14258,kick,U,1
14360,kick,D,1
14360,kick,U,1
14462,kick,D,1
14462,kick,U,1
14564,kick,D,1
14564,kick,U,1
14666,kick,D,1
14666,kick,U,1
14768,kick,D,1
14769,kick,U,1
14871,kick,D,1
14871,kick,U,1
14871,tom2,D,1
14871,tom2,U,1
15380,tom2,D,1
15380,tom2,U,1
15482,tom2,D,1
15482,tom2,U,1
15584,tom2,D,1
15584,tom2,U,1
15686,tom2,D,1
15686,tom2,U,1
15788,tom2,D,1
15788,tom2,U,1
15890,tom2,D,1
15890,tom2,U,1
15992,tom2,D,1
15992,tom2,U,1
