# Sound Recording - Timestamp(ms),SoundName,Action(Down/Up)
221,note0,Down
234,note1,Down
244,note2,Down
246,note3,Down
265,note4,Down
285,note5,Down
288,note6,Down
309,note7,Down
820,note7,Down
851,note7,Down
881,note7,Down
914,note7,Down
945,note7,Down
976,note7,Down
008,note7,Down
054,note7,Down
085,note7,Down
116,note7,Down
127,note7,Up
497,note6,Up
620,note5,Up
349,note4,Up
195,note3,Up
061,note2,Up
920,note1,Up
923,note0,Up
