# Sound Recording - Timestamp(ms),SoundName,Action(Down/Up),Volume
567,note0,Down,1
721,note0,Up,1
973,note1,Down,1
1063,note1,Up,1
1392,note2,Down,1
1504,note2,Up,1
1779,note1,Down,1
1876,note1,Up,1
2192,note0,Down,1
2327,note0,Up,1
2561,note1,Down,1
2694,note1,Up,1
2989,note2,Down,1
3099,note2,Up,1
3353,note1,Down,1
3457,note1,Up,1
3776,note0,Down,1
3932,note0,Up,1
4162,note1,Down,1
4277,note1,Up,1
4585,note2,Down,1
4712,note2,Up,1
4977,note6,Down,1
5059,note6,Up,1
5300,note1,Down,1
5447,note1,Up,1
5791,note0,Down,1
5986,note0,Up,1
6250,note1,Down,1
6358,note1,Up,1
6732,note2,Down,1
6861,note2,Up,1
7053,note1,Down,1
7180,note1,Up,1
7477,note0,Down,1
7633,note0,Up,1
7857,note1,Down,1
7974,note1,Up,1
8287,note2,Down,1
8391,note2,Up,1
8654,note1,Down,1
8776,note1,Up,1
9056,note0,Down,1
9210,note0,Up,1
9431,note1,Down,1
9542,note1,Up,1
9866,note2,Down,1
9964,note2,Up,1
10260,note7,Down,1
10346,note7,Up,1
10652,note1,Down,1
10741,note1,Up,1
11009,note0,Down,1
11163,note0,Up,1
11433,note1,Down,1
11546,note1,Up,1
11859,note2,Down,1
11967,note2,Up,1
12255,note1,Down,1
12360,note1,Up,1
12662,note0,Down,1
12831,note0,Up,1
13135,note1,Down,1
13244,note1,Up,1
13555,note2,Down,1
13659,note2,Up,1
13952,note8,Down,1
14052,note8,Up,1
14328,note1,Down,1
14470,note1,Up,1
14753,note0,Down,1
14909,note0,Up,1
15145,note1,Down,1
15301,note1,Up,1
15583,note2,Down,1
15698,note2,Up,1
15939,note6,Down,1
16067,note6,Up,1
16373,note1,Down,1
16535,note1,Up,1
16796,note3,Down,1
16915,note3,Up,1
17184,note1,Down,1
17334,note1,Up,1
17675,note5,Down,1
17807,note5,Up,1
18086,note1,Down,1
18269,note1,Up,1
18536,note6,Down,1
18706,note6,Up,1
18959,note2,Down,1
19121,note2,Up,1
19415,note7,Down,1
19570,note7,Up,1
19806,note0,Down,1
19993,note0,Up,1
20245,note8,Down,1
20392,note8,Up,1
20712,note1,Down,1
20834,note1,Up,1
21174,note2,Down,1
21315,note2,Up,1
