# Sound Recording - Timestamp(ms),SoundName,Action(Down/Up),Volume
96,note0,Down,1
607,note0,Down,1
638,note0,Down,1
669,note0,Down,1
701,note0,Down,1
734,note0,Down,1
765,note0,Down,1
797,note0,Down,1
830,note0,Down,1
862,note0,Down,1
907,note0,Down,1
939,note0,Down,1
968,note0,Down,1
1000,note0,Down,1
1032,note0,Down,1
1062,note0,Down,1
1096,note0,Down,1
1128,note0,Down,1
1158,note0,Down,1
1191,note0,Down,1
1238,note0,Down,1
1269,note0,Down,1
1300,note0,Down,1
1333,note0,Down,1
1363,note0,Down,1
1395,note0,Down,1
1427,note0,Down,1
1459,note0,Down,1
1490,note0,Down,1
1521,note0,Down,1
1553,note0,Down,1
1586,note0,Down,1
1632,note0,Down,1
1663,note0,Down,1
1695,note0,Down,1
1728,note0,Down,1
1760,note0,Down,1
1792,note0,Down,1
1822,note0,Down,1
1854,note0,Down,1
1887,note0,Down,1
1919,note0,Down,1
1950,note0,Down,1
1982,note0,Down,1
2028,note0,Down,1
2059,note0,Down,1
2090,note0,Down,1
2121,note0,Down,1
2153,note0,Down,1
2186,note0,Down,1
2217,note0,Down,1
2249,note0,Down,1
2280,note0,Down,1
2327,note0,Down,1
2358,note0,Down,1
2391,note0,Down,1
2423,note0,Down,1
2453,note0,Down,1
2485,note0,Down,1
2517,note0,Down,1
2548,note0,Down,1
2580,note0,Down,1
2611,note0,Down,1
2643,note0,Down,1
2688,note0,Down,1
2720,note0,Down,1
2751,note0,Down,1
2760,note2,Down,1
3269,note2,Down,1
3300,note2,Down,1
3332,note2,Down,1
3364,note2,Down,1
3394,note2,Down,1
3427,note2,Down,1
3472,note2,Down,1
3504,note2,Down,1
3535,note2,Down,1
3567,note2,Down,1
3598,note2,Down,1
3629,note2,Down,1
3660,note2,Down,1
3691,note2,Down,1
3723,note2,Down,1
3770,note2,Down,1
3803,note2,Down,1
3833,note2,Down,1
3864,note2,Down,1
3895,note2,Down,1
3926,note2,Down,1
3958,note2,Down,1
3990,note2,Down,1
4020,note2,Down,1
4066,note2,Down,1
4098,note2,Down,1
4129,note2,Down,1
4160,note2,Down,1
4192,note2,Down,1
4224,note2,Down,1
4255,note2,Down,1
4286,note2,Down,1
4317,note2,Down,1
4349,note2,Down,1
4396,note2,Down,1
4429,note2,Down,1
4458,note2,Down,1
4490,note2,Down,1
4521,note2,Down,1
4552,note2,Down,1
4582,note2,Down,1
4615,note2,Down,1
4661,note2,Down,1
4693,note2,Down,1
4723,note2,Down,1
4755,note2,Down,1
4786,note2,Down,1
4816,note2,Down,1
4849,note2,Down,1
4880,note2,Down,1
4912,note2,Down,1
4944,note2,Down,1
4989,note2,Down,1
5022,note2,Down,1
5054,note2,Down,1
5085,note2,Down,1
5117,note2,Down,1
5148,note2,Down,1
5180,note2,Down,1
5210,note2,Down,1
5244,note2,Down,1
5275,note2,Down,1
5307,note2,Down,1
5340,note2,Down,1
5387,note2,Down,1
5418,note2,Down,1
5450,note2,Down,1
5471,note4,Down,1
5972,note4,Down,1
6018,note4,Down,1
6050,note4,Down,1
6081,note4,Down,1
6112,note4,Down,1
6143,note4,Down,1
6172,note4,Down,1
6203,note4,Down,1
6237,note4,Down,1
6268,note4,Down,1
6314,note4,Down,1
6346,note4,Down,1
6378,note4,Down,1
6408,note4,Down,1
6440,note4,Down,1
6471,note4,Down,1
6503,note4,Down,1
6533,note4,Down,1
6567,note4,Down,1
6612,note4,Down,1
6643,note4,Down,1
6676,note4,Down,1
6708,note4,Down,1
6739,note4,Down,1
6769,note4,Down,1
6800,note4,Down,1
6832,note4,Down,1
6862,note4,Down,1
6910,note4,Down,1
6939,note4,Down,1
6969,note4,Down,1
7001,note4,Down,1
7033,note4,Down,1
7064,note4,Down,1
7096,note4,Down,1
