# Sound Recording - Timestamp(ms),SoundName,Action(Down/Up),Volume
11510,note7,Down,2
11540,note7,Down,2
11572,note7,Down,2
11603,note7,Down,2
11635,note7,Down,2
11666,note7,Down,2
11697,note7,Down,2
11728,note7,Down,2
11774,note7,Down,2
11805,note7,Down,2
11837,note7,Down,2
11868,note7,Down,2
11899,note7,Down,2
11930,note7,Down,2
11960,note7,Down,2
11993,note7,Down,2
12039,note7,Down,2
12071,note7,Down,2
12102,note7,Down,2
12134,note7,Down,2
12165,note7,Down,2
12198,note7,Down,2
12230,note7,Down,2
12261,note7,Down,2
12292,note7,Down,2
12325,note7,Down,2
12357,note7,Down,2
12388,note7,Down,2
12434,note7,Down,2
12464,note7,Down,2
12496,note7,Down,2
12527,note7,Down,2
12557,note7,Down,2
12590,note7,Down,2
12620,note7,Down,2
12652,note7,Down,2
12699,note7,Down,2
12721,note4,Down,2
12733,note2,Down,2
12757,note0,Up,2
12774,note7,Up,2
13277,note2,Down,2
13308,note2,Down,2
13355,note2,Down,2
13387,note2,Down,2
13417,note2,Down,2
13450,note2,Down,2
13481,note2,Down,2
13512,note2,Down,2
13543,note2,Down,2
13574,note2,Down,2
13605,note2,Down,2
13654,note2,Down,2
13685,note2,Down,2
13718,note2,Down,2
13750,note2,Down,2
13781,note2,Down,2
13811,note2,Down,2
13844,note2,Down,2
13874,note2,Down,2
13905,note2,Down,2
13938,note2,Down,2
13969,note2,Down,2
14015,note2,Down,2
14048,note2,Down,2
14081,note2,Down,2
14111,note2,Down,2
14142,note2,Down,2
14173,note2,Down,2
14204,note2,Down,2
14235,note2,Down,2
14267,note2,Down,2
14299,note2,Down,2
14347,note2,Down,2
14377,note2,Down,2
14410,note2,Down,2
14440,note2,Down,2
14471,note2,Down,2
14502,note2,Down,2
14532,note2,Down,2
14564,note2,Down,2
14611,note2,Down,2
14645,note2,Down,2
14674,note2,Down,2
14705,note2,Down,2
14736,note2,Down,2
14767,note2,Down,2
14798,note2,Down,2
14829,note2,Down,2
14860,note2,Down,2
14906,note2,Down,2
14938,note2,Down,2
14968,note2,Down,2
15000,note2,Down,2
15033,note2,Down,2
15064,note2,Down,2
15096,note2,Down,2
15128,note2,Down,2
15158,note2,Down,2
15192,note2,Down,2
15225,note2,Down,2
15249,note6,Down,2
15321,note4,Up,2
15834,note6,Down,2
15867,note6,Down,2
15902,note6,Down,2
15931,note6,Down,2
15964,note6,Down,2
15996,note6,Down,2
16027,note6,Down,2
16057,note6,Down,2
16089,note6,Down,2
16120,note6,Down,2
16153,note6,Down,2
16185,note6,Down,2
16232,note6,Down,2
16263,note6,Down,2
16294,note6,Down,2
16324,note6,Down,2
16356,note6,Down,2
16387,note6,Down,2
16418,note6,Down,2
16449,note6,Down,2
16498,note6,Down,2
16530,note6,Down,2
16561,note6,Down,2
16592,note6,Down,2
16623,note6,Down,2
16656,note6,Down,2
16687,note6,Down,2
16717,note6,Down,2
16749,note6,Down,2
16779,note6,Down,2
16825,note6,Down,2
16857,note6,Down,2
16889,note6,Down,2
16921,note6,Down,2
16952,note6,Down,2
16984,note6,Down,2
17015,note6,Down,2
17046,note6,Down,2
17077,note6,Down,2
17110,note6,Down,2
17142,note6,Down,2
17189,note6,Down,2
17220,note6,Down,2
17251,note6,Down,2
17281,note6,Down,2
17312,note6,Down,2
17344,note6,Down,2
17375,note6,Down,2
17408,note6,Down,2
17454,note6,Down,2
17484,note6,Down,2
17514,note6,Down,2
17545,note6,Down,2
17577,note6,Down,2
17608,note6,Down,2
17638,note6,Down,2
17671,note6,Down,2
17717,note6,Down,2
17749,note6,Down,2
17780,note6,Down,2
17812,note6,Down,2
17843,note6,Down,2
17875,note6,Down,2
17895,note7,Down,2
18107,note6,Up,2
18611,note7,Down,2
18642,note7,Down,2
18673,note7,Down,2
18721,note7,Down,2
18753,note7,Down,2
18785,note7,Down,2
18816,note7,Down,2
18848,note7,Down,2
18880,note7,Down,2
18912,note7,Down,2
18942,note7,Down,2
18973,note7,Down,2
19004,note7,Down,2
19051,note7,Down,2
19082,note7,Down,2
19112,note7,Down,2
19144,note7,Down,2
19175,note7,Down,2
19205,note7,Down,2
19236,note7,Down,2
19269,note7,Down,2
19315,note7,Down,2
19348,note7,Down,2
19381,note7,Down,2
19411,note7,Down,2
19444,note7,Down,2
19476,note7,Down,2
19506,note7,Down,2
19538,note7,Down,2
19570,note7,Down,2
19601,note7,Down,2
19633,note7,Down,2
19666,note7,Down,2
19697,note7,Down,2
19745,note7,Down,2
19776,note7,Down,2
19806,note7,Down,2
19836,note7,Down,2
19867,note7,Down,2
19900,note7,Down,2
19931,note7,Down,2
19963,note7,Down,2
19994,note7,Down,2
20040,note7,Down,2
20072,note7,Down,2
20103,note7,Down,2
20134,note7,Down,2
20167,note7,Down,2
20199,note7,Down,2
20231,note7,Down,2
20263,note7,Down,2
20294,note7,Down,2
20325,note7,Down,2
20357,note7,Down,2
20404,note7,Down,2
20434,note7,Down,2
20467,note7,Down,2
20499,note7,Down,2
20531,note7,Down,2
20564,note7,Down,2
20595,note7,Down,2
20627,note7,Down,2
20659,note7,Down,2
20691,note7,Down,2
20724,note7,Down,2
20754,note7,Down,2
20785,note7,Down,2
20831,note7,Down,2
20862,note7,Down,2
20894,note7,Down,2
20926,note7,Down,2
20958,note7,Down,2
20990,note7,Down,2
21021,note7,Down,2
21051,note7,Down,2
21084,note7,Down,2
21115,note7,Down,2
21128,note4,Down,2
21639,note4,Down,2
21670,note4,Down,2
21700,note4,Down,2
21733,note4,Down,2
21765,note4,Down,2
21798,note4,Down,2
21829,note4,Down,2
21861,note4,Down,2
21893,note4,Down,2
21941,note4,Down,2
21971,note4,Down,2
22002,note4,Down,2
22032,note4,Down,2
22065,note4,Down,2
22096,note4,Down,2
22128,note4,Down,2
22158,note4,Down,2
22191,note4,Down,2
22237,note4,Down,2
22268,note4,Down,2
22300,note4,Down,2
22332,note4,Down,2
22363,note4,Down,2
22394,note4,Down,2
22427,note4,Down,2
22458,note4,Down,2
22489,note4,Down,2
22520,note4,Down,2
22566,note4,Down,2
22599,note4,Down,2
22630,note4,Down,2
22663,note4,Down,2
22694,note4,Down,2
22724,note4,Down,2
22756,note4,Down,2
22787,note4,Down,2
22819,note4,Down,2
22850,note4,Down,2
22898,note4,Down,2
22929,note4,Down,2
22962,note4,Down,2
22993,note4,Down,2
23024,note4,Down,2
23056,note4,Down,2
23088,note4,Down,2
23120,note4,Down,2
23150,note4,Down,2
23181,note4,Down,2
23227,note4,Down,2
23260,note4,Down,2
23275,note1,Down,2
23777,note1,Down,2
23809,note1,Down,2
23840,note1,Down,2
23886,note1,Down,2
23917,note1,Down,2
23948,note1,Down,2
23979,note1,Down,2
24011,note1,Down,2
24043,note1,Down,2
24074,note1,Down,2
24106,note1,Down,2
24137,note1,Down,2
24184,note1,Down,2
24217,note1,Down,2
24247,note1,Down,2
24278,note1,Down,2
24309,note1,Down,2
24340,note1,Down,2
24372,note1,Down,2
24403,note1,Down,2
24434,note1,Down,2
24482,note1,Down,2
24512,note1,Down,2
24544,note1,Down,2
24576,note1,Down,2
24608,note1,Down,2
24639,note1,Down,2
24669,note1,Down,2
24701,note1,Down,2
24733,note1,Down,2
24763,note1,Down,2
24811,note1,Down,2
24842,note1,Down,2
24874,note1,Down,2
24904,note1,Down,2
24935,note1,Down,2
24968,note1,Down,2
24998,note1,Down,2
25031,note1,Down,2
25062,note1,Down,2
25094,note1,Down,2
25142,note1,Down,2
25174,note1,Down,2
25204,note1,Down,2
25239,note1,Down,2
25270,note1,Down,2
25302,note1,Down,2
25334,note1,Down,2
25364,note1,Down,2
25395,note1,Down,2
25428,note1,Down,2
25460,note1,Down,2
25492,note1,Down,2
25523,note1,Down,2
25569,note1,Down,2
25600,note1,Down,2
25631,note1,Down,2
25662,note1,Down,2
25694,note1,Down,2
25724,note1,Down,2
25754,note1,Down,2
25787,note1,Down,2
25834,note1,Down,2
25866,note1,Down,2
25898,note1,Down,2
25928,note1,Down,2
25961,note1,Down,2
25991,note1,Down,2
26023,note1,Down,2
