# Sound Recording - Timestamp(ms),SoundName,Action(Down/Up),Volume
246,note8,Down,1
370,note8,Up,1
620,note8,Down,1
741,note8,Up,1
992,note8,Down,1
1096,note8,Up,1
1402,note8,Down,1
1501,note8,Up,1
1793,note7,Down,1
1875,note7,Up,1
2164,note7,Down,1
2276,note7,Up,1
2570,note7,Down,1
2674,note7,Up,1
2956,note7,Down,1
3053,note7,Up,1
3389,note6,Down,1
3456,note6,Up,1
3815,note6,Down,1
3910,note6,Up,1
4164,note6,Down,1
4260,note6,Up,1
4545,note6,Down,1
4628,note6,Up,1
4933,note5,Down,1
5052,note5,Up,1
5293,note6,Down,1
5400,note6,Up,1
5668,note7,Down,1
5767,note7,Up,1
6062,note8,Down,1
6213,note8,Up,1
6438,note8,Down,1
6550,note8,Up,1
6854,note8,Down,1
6958,note8,Up,1
7200,note8,Down,1
7307,note8,Up,1
7573,note7,Down,1
7697,note7,Up,1
7951,note7,Down,1
8088,note7,Up,1
8346,note7,Down,1
8491,note7,Up,1
8763,note7,Down,1
8886,note7,Up,1
9174,note6,Down,1
9308,note6,Up,1
9579,note6,Down,1
9695,note6,Up,1
9981,note6,Down,1
10095,note6,Up,1
10331,note6,Down,1
10477,note6,Up,1
10757,note5,Down,1
10882,note5,Up,1
11131,note7,Down,1
11245,note7,Up,1
11543,note8,Down,1
11646,note8,Up,1
12124,note8,Down,1
12374,note8,Up,1
12802,note8,Down,1
13140,note8,Up,1
13468,note8,Down,1
13786,note8,Up,1
13885,note0,Down,1
14113,note0,Up,1
14211,note8,Down,1
14566,note8,Up,1
14953,note8,Down,1
15203,note8,Up,1
15299,note0,Down,1
15662,note8,Down,1
15683,note0,Up,1
16012,note8,Up,1
16055,note0,Down,1
16345,note0,Up,1
16426,note8,Down,1
16928,note8,Down,1
16960,note8,Down,1
17008,note8,Down,1
17037,note8,Down,1
17069,note8,Down,1
17102,note8,Down,1
17133,note8,Down,1
17164,note8,Down,1
17195,note8,Down,1
17227,note8,Down,1
17257,note8,Down,1
17304,note8,Down,1
17336,note8,Down,1
17365,note8,Down,1
17398,note8,Down,1
17428,note8,Down,1
17458,note8,Down,1
17490,note8,Down,1
17522,note8,Down,1
17569,note8,Down,1
17601,note8,Down,1
17632,note8,Down,1
17663,note8,Down,1
17695,note8,Down,1
17725,note8,Down,1
17741,note0,Down,1
17815,note0,Up,1
19877,note0,Down,1
19989,note0,Up,1
21513,note0,Down,1
21724,note1,Down,1
21913,note8,Up,1
22418,note1,Down,1
22451,note1,Down,1
22483,note1,Down,1
22515,note1,Down,1
22561,note1,Down,1
22593,note1,Down,1
22624,note1,Down,1
22656,note1,Down,1
22687,note1,Down,1
22718,note1,Down,1
22750,note1,Down,1
22783,note1,Down,1
22815,note1,Down,1
22848,note1,Down,1
22878,note1,Down,1
22910,note1,Down,1
22943,note1,Down,1
22975,note1,Down,1
23022,note1,Down,1
23054,note1,Down,1
23087,note1,Down,1
23116,note1,Down,1
23148,note1,Down,1
23179,note1,Down,1
23212,note1,Down,1
23243,note1,Down,1
23273,note1,Down,1
23305,note1,Down,1
23352,note1,Down,1
23383,note1,Down,1
23414,note1,Down,1
23447,note1,Down,1
23478,note1,Down,1
23508,note1,Down,1
23541,note1,Down,1
23571,note1,Down,1
23605,note1,Down,1
23636,note1,Down,1
23668,note1,Down,1
23700,note1,Down,1
23748,note1,Down,1
23780,note1,Down,1
23811,note1,Down,1
23841,note1,Down,1
23873,note1,Down,1
23905,note1,Down,1
23936,note1,Down,1
23967,note1,Down,1
23998,note1,Down,1
24031,note1,Down,1
24078,note1,Down,1
24110,note1,Down,1
24142,note1,Down,1
24171,note1,Down,1
24204,note1,Down,1
24235,note1,Down,1
24267,note1,Down,1
24297,note1,Down,1
24331,note1,Down,1
24362,note1,Down,1
24394,note1,Down,1
24440,note1,Down,1
24473,note1,Down,1
24506,note1,Down,1
24537,note1,Down,1
24567,note1,Down,1
24598,note1,Down,1
24631,note1,Down,1
24662,note1,Down,1
24693,note1,Down,1
24724,note1,Down,1
24756,note1,Down,1
24804,note1,Down,1
24837,note1,Down,1
24869,note1,Down,1
24900,note1,Down,1
24932,note1,Down,1
24963,note1,Down,1
24996,note1,Down,1
25028,note1,Down,1
25060,note1,Down,1
25092,note1,Down,1
25123,note1,Down,1
25155,note1,Down,1
25186,note1,Down,1
25218,note1,Down,1
25266,note1,Down,1
25298,note1,Down,1
25329,note1,Down,1
25361,note1,Down,1.1
25391,note1,Down,1.2
25424,note1,Down,1.35
25456,note1,Down,1.4
25486,note1,Down,1.4
25518,note1,Down,1.4
25550,note1,Down,1.4
25581,note1,Down,1.4
25628,note1,Down,1.4
25658,note1,Down,1.4
25689,note1,Down,1.45
25721,note1,Down,1.6
25752,note1,Down,1.7
25784,note1,Down,1.75
25815,note1,Down,1.8
25846,note1,Down,1.8
25893,note1,Down,1.8
25923,note1,Down,1.8
25954,note1,Down,1.8
25985,note1,Down,1.9
26017,note1,Down,2
26049,note1,Down,2
26081,note1,Down,2
26113,note1,Down,2
26144,note1,Down,2
26177,note1,Down,2
26222,note1,Down,2
26252,note1,Down,2
26284,note1,Down,2
26316,note1,Down,2
26348,note1,Down,2
26380,note1,Down,2
26410,note1,Down,2
26443,note1,Down,2
26474,note1,Down,2
26520,note1,Down,2
26552,note1,Down,2
26584,note1,Down,2
26615,note1,Down,2
26648,note1,Down,2
26680,note1,Down,2
26712,note1,Down,2
26744,note1,Down,2
26775,note1,Down,2
26806,note1,Down,2
26837,note1,Down,2
26869,note1,Down,2
26901,note1,Down,2
26948,note1,Down,2
26979,note1,Down,2
27010,note1,Down,2
27039,note1,Down,2
27071,note1,Down,2
27103,note1,Down,2
27134,note1,Down,2
27180,note1,Down,2
27211,note1,Down,2
27243,note1,Down,2
27275,note1,Down,2
27305,note1,Down,2
27336,note1,Down,2
27367,note1,Down,2
27399,note1,Down,2
27430,note1,Down,2
27476,note1,Down,2
27508,note1,Down,2
27538,note1,Down,2
27571,note1,Down,2
27602,note1,Down,2
27634,note1,Down,2
27664,note1,Down,2
27697,note1,Down,2
27725,note5,Down,2
27923,note1,Up,2
28437,note5,Down,2
28468,note5,Down,2
28499,note5,Down,2
28530,note5,Down,2
28561,note5,Down,2
28594,note5,Down,2
28624,note5,Down,2
28655,note5,Down,2
28702,note5,Down,2
28734,note5,Down,2
28765,note5,Down,2
28795,note5,Down,2
28828,note5,Down,2
28859,note5,Down,2
28890,note5,Down,2
28921,note5,Down,2
28967,note5,Down,2
28998,note5,Down,2
29030,note5,Down,2
29060,note5,Down,2
29092,note5,Down,2
29124,note5,Down,2
29157,note5,Down,2
29189,note5,Down,2
29220,note5,Down,2
29251,note5,Down,2
29282,note5,Down,2
29328,note5,Down,2
29359,note5,Down,2
29392,note5,Down,2
29423,note5,Down,2
29455,note5,Down,2
29487,note5,Down,2
29518,note5,Down,2
29548,note5,Down,2
29581,note5,Down,2
29612,note5,Down,2
29659,note5,Down,2
29691,note5,Down,2
29721,note5,Down,2
29752,note5,Down,2
29784,note5,Down,2
29816,note5,Down,2
29847,note5,Down,2
29878,note5,Down,2
29908,note5,Down,2
29955,note5,Down,2
29988,note5,Down,2
30020,note5,Down,2
30051,note5,Down,2
30082,note5,Down,2
30114,note5,Down,2
30144,note5,Down,2
30177,note5,Down,2
30208,note5,Down,2
30243,note5,Down,2
30272,note5,Down,2
30319,note5,Down,2
30350,note5,Down,2
30381,note5,Down,2
30412,note5,Down,2
30444,note5,Down,2
30475,note5,Down,2
30507,note5,Down,2
30538,note5,Down,2
30569,note5,Down,2
30617,note5,Down,2
30647,note5,Down,2
30678,note5,Down,2
30710,note5,Down,2
30742,note5,Down,2
30772,note5,Down,2
30803,note5,Down,2
30834,note5,Down,2
30880,note5,Down,2
30912,note5,Down,2
30944,note5,Down,2
30977,note5,Down,2
31010,note5,Down,2
31041,note5,Down,2
31072,note5,Down,2
31102,note5,Down,2
31133,note5,Down,2
31165,note5,Down,2
31196,note5,Down,2
31243,note5,Down,2
31275,note5,Down,2
31307,note5,Down,2
31338,note5,Down,2
31368,note5,Down,2
31402,note5,Down,2
31435,note5,Down,2
31466,note5,Down,2
31497,note5,Down,2
31527,note5,Down,2
31559,note5,Down,2
31605,note5,Down,2
31637,note5,Down,2
31667,note5,Down,2
31699,note5,Down,2
31731,note5,Down,2
31761,note5,Down,2
31792,note5,Down,2
31838,note5,Down,2
31872,note5,Down,2
31902,note5,Down,2
31935,note5,Down,2
31967,note5,Down,2
31998,note5,Down,2
32030,note5,Down,2
32062,note5,Down,2
32094,note5,Down,2
32124,note5,Down,2
32155,note5,Down,2
32202,note5,Down,2
32233,note5,Down,2
32247,note6,Down,2
32342,note5,Up,2
32848,note6,Down,2
32880,note6,Down,2
32911,note6,Down,2
32943,note6,Down,2
32975,note6,Down,2
33023,note6,Down,2
33053,note6,Down,2
33084,note6,Down,2
33116,note6,Down,2
33146,note6,Down,2
33178,note6,Down,2
33208,note6,Down,2
33241,note6,Down,2
33274,note6,Down,2
33306,note6,Down,2
33353,note6,Down,2
33385,note6,Down,2
33417,note6,Down,2
33448,note6,Down,2
33479,note6,Down,2
33509,note6,Down,2
33542,note6,Down,2
33573,note6,Down,2
33604,note6,Down,2
33634,note6,Down,2
33681,note6,Down,2
33713,note6,Down,2
33745,note6,Down,2
33777,note6,Down,2
33808,note6,Down,2
33840,note6,Down,2
33871,note6,Down,2
33902,note6,Down,2
33933,note6,Down,2
33978,note6,Down,2
34010,note6,Down,2
34043,note6,Down,2
34074,note6,Down,2
34106,note6,Down,2
34138,note6,Down,2
