# Sound Recording - Timestamp(ms),SoundName,Action(D/U),Volume
1823,tom2,D,1
2329,tom2,D,1
2430,tom2,D,1
2430,tom2,U,1
2534,tom2,D,1
3042,tom2,D,1
3042,tom2,U,1
3042,tom1,D,1
3548,tom1,D,1
3649,tom1,D,1
3750,tom1,D,1
3851,tom1,D,1
3952,tom1,D,1
4054,tom1,U,1
4054,kick,D,1
4562,kick,D,1
4663,kick,D,1
4765,kick,D,1
4866,kick,D,1
4968,kick,D,1
5069,kick,D,1
5170,kick,D,1
5271,kick,D,1
5374,kick,D,1
5374,n3,D,1
5476,n1,D,1
5987,n1,D,1
6088,n1,D,1
6190,n1,D,1
6292,n1,D,1
6394,n1,D,1
6498,n1,D,1
6600,n1,D,1
6702,n1,D,1
6804,n1,D,1
6804,n1,U,1
6907,n3,U,1
7110,n2,D,1
7110,n0,D,1
7622,n0,D,1
7723,n0,D,1
7824,n0,D,1
7926,n0,D,1
8027,n0,D,1
8131,n0,D,1
8232,n0,D,1
8336,n0,D,1
8438,n0,D,1
8539,n0,D,1
8641,n0,D,1
8743,n0,D,1
8846,n0,D,1
8948,n0,D,1
9051,n0,D,1
9153,n0,D,1
9255,n0,D,1
9356,n0,D,1
9458,n0,D,1
9458,n0,D,1
9560,n0,D,1
9662,n0,D,1
9764,n0,D,1
9866,n0,D,1
9968,n0,D,1
10070,n0,D,1
10172,n0,D,1
10274,n0,D,1
10375,n0,D,1
10477,n0,D,1
10579,n0,D,1
10681,n0,D,1
10783,n0,D,1
10888,n0,D,1
10991,n0,D,1
11093,n0,D,1
11195,n0,D,1
11296,n0,D,1
11397,n0,D,1
11501,n0,D,1
11604,n0,D,1
11604,n4,D,1
11604,n0,U,1
12114,n4,D,1
12216,n4,D,1
12318,n4,D,1
12420,n4,D,1
12522,n4,D,1
12625,n4,D,1
12726,n4,D,1
12828,n4,D,1
12930,n4,D,1
13032,n4,D,1
13133,n4,D,1
13234,n4,D,1
13336,n4,D,1
13437,n4,D,1
13538,n4,D,1
13640,n4,D,1
13741,n4,D,1
