# Sound Recording - Timestamp(ms),SoundName,Action(Down/Up)
633,note0,Down
656,note2,Down
778,note2,Up
789,note0,Up
1388,note3,Down
1388,note1,Down
1506,note3,Up
1517,note1,Up
2121,note2,Down
2134,note4,Down
2278,note2,Up
2289,note4,Up
2889,note3,Down
2912,note5,Down
3077,note5,Up
3077,note3,Up
3600,note4,Down
3611,note6,Down
3800,note6,Up
3800,note4,Up
4277,note5,Down
4288,note7,Down
4593,note7,Up
4604,note5,Up
4979,note4,Down
4979,note6,Down
5242,note6,Up
5242,note4,Up
5647,note3,Down
5662,note5,Down
5941,note5,Up
5942,note3,Up
6287,note2,Down
6312,note4,Down
6600,note4,Up
6622,note2,Up
6945,note1,Down
6970,note3,Down
7255,note3,Up
7269,note1,Up
7667,note0,Down
7679,note2,Down
7990,note2,Up
8002,note0,Up
